商品,variant,sku,Product GID,Variant GID,status,分類,old_price,new_price
フェイクファー ブランケット,フェイクファーストライプ-キャラメル / 150×200cm,f2bf4facb88d57e026c8ef3ed0839a98,gid://shopify/Product/10218005397744,gid://shopify/ProductVariant/50296060444912,ACTIVE,MULTI_BUY,4480,3980
フェイクファー ブランケット,フェイクファーストライプ-キャラメル / 180×200cm,4801cf62801f3d875f5678e0ece36469,gid://shopify/Product/10218005397744,gid://shopify/ProductVariant/50296060477680,ACTIVE,MULTI_BUY,4480,3980
フェイクファー ブランケット,フェイクファーストライプ-ブルー / 100×150cm,ff81abc9501768f632305d4ee8f39742,gid://shopify/Product/10218005397744,gid://shopify/ProductVariant/50296060608752,ACTIVE,MULTI_BUY,3480,2980
フェイクファー ブランケット,フェイクファーストライプ-ブルー / 150×200cm,a82c10cb9965aa01be6188d2ace920e0,gid://shopify/Product/10218005397744,gid://shopify/ProductVariant/50296060739824,ACTIVE,MULTI_BUY,4480,3980
フェイクファー ブランケット,フェイクファーストライプ-ブルー / 180×200cm,e1935a7a09805cba71df52da24f7116d,gid://shopify/Product/10218005397744,gid://shopify/ProductVariant/50296060772592,ACTIVE,MULTI_BUY,4480,3980
フェイクファー ブランケット,フェイクファーストライプ-ターメリックイエロー / 100×150cm,327bd51c72444e3414a91a64a9da2896,gid://shopify/Product/10218005397744,gid://shopify/ProductVariant/50296060903664,ACTIVE,MULTI_BUY,3480,2980
フェイクファー ブランケット,フェイクファーストライプ-ターメリックイエロー / 150×200cm,0f5576d828eee16041c802ec84715b87,gid://shopify/Product/10218005397744,gid://shopify/ProductVariant/50296060969200,ACTIVE,MULTI_BUY,4480,3980
フェイクファー ブランケット,フェイクファーストライプ-ターメリックイエロー / 180×200cm,9542c4e6f244ad5ae289368a369449a5,gid://shopify/Product/10218005397744,gid://shopify/ProductVariant/50296061001968,ACTIVE,MULTI_BUY,4480,3980
フェイクファー ブランケット,フェイクファーストライプ-ライトパープル / 100×150cm,3aa1f9d26861f0c3645ee3a3e51bc028,gid://shopify/Product/10218005397744,gid://shopify/ProductVariant/50296061133040,ACTIVE,MULTI_BUY,3480,2980
フェイクファー ブランケット,フェイクファーストライプ-ライトパープル / 150×200cm,1eccae5d97de019e00f4221da28f1c3f,gid://shopify/Product/10218005397744,gid://shopify/ProductVariant/50296061198576,ACTIVE,MULTI_BUY,4480,3980
フェイクファー ブランケット,フェイクファーストライプ-ライトパープル / 180×200cm,e80459fded21fd254cedb7f52adbe8ea,gid://shopify/Product/10218005397744,gid://shopify/ProductVariant/50296061231344,ACTIVE,MULTI_BUY,4480,3980
フラワー キャットタワー,花柄（花パーツ取り外し可）,fb7d098a2ec2110da668c161e1344f1f,gid://shopify/Product/10218060808432,gid://shopify/ProductVariant/50296441307376,ACTIVE,SUMMER_SALE,31480,29980
フラワー キャットタワー,ホワイト（花パーツ取り外し可）,fe5d75c6f93254e45c1becb57402bc81,gid://shopify/Product/10218060808432,gid://shopify/ProductVariant/50296441340144,ACTIVE,SUMMER_SALE,31480,29980
フラワー フロアクッション,ピンク / 直径50cm,2bd54ec1a89a8bdc734f1b05693653c4,gid://shopify/Product/10218057531632,gid://shopify/ProductVariant/50296389009648,ACTIVE,MULTI_BUY,8480,5980
フラワー フロアクッション,ピンク / 直径40cm,63de84b56a8a6923bcb25dbaf4c318e3,gid://shopify/Product/10218057531632,gid://shopify/ProductVariant/50296389042416,ACTIVE,MULTI_BUY,7480,5480
フラワー フロアクッション,イエロー / 直径50cm,b37b05b63a8197c0526904d5fce41ee0,gid://shopify/Product/10218057531632,gid://shopify/ProductVariant/50296389075184,ACTIVE,MULTI_BUY,8480,5980
フラワー フロアクッション,イエロー / 直径40cm,5c7f336a7adf8976ae5c478b5608b81a,gid://shopify/Product/10218057531632,gid://shopify/ProductVariant/50296389107952,ACTIVE,MULTI_BUY,7480,5480
フラワー フロアクッション,グレー / 直径50cm,ad2d5830a7985734a04c8a7d6fccaefe,gid://shopify/Product/10218057531632,gid://shopify/ProductVariant/50296389140720,ACTIVE,MULTI_BUY,8480,5980
フラワー フロアクッション,グレー / 直径40cm,20035f21512475bd686fb24c7e99119b,gid://shopify/Product/10218057531632,gid://shopify/ProductVariant/50296389173488,ACTIVE,MULTI_BUY,7480,5480
フラワー フロアクッション,グリーン / 直径50cm,19c4dca0b8d42491f406f3d1dcc2fe0a,gid://shopify/Product/10218057531632,gid://shopify/ProductVariant/50296389206256,ACTIVE,MULTI_BUY,8480,5980
フラワー フロアクッション,グリーン / 直径40cm,730b1b4096305a288f8a15defb663f8c,gid://shopify/Product/10218057531632,gid://shopify/ProductVariant/50296389239024,ACTIVE,MULTI_BUY,7480,5480
フラワーバッド テーブルランプ,充電式・タッチ式・3色調光 / レッド,d967da910e3b6ea7b627b1d9c288966c,gid://shopify/Product/10218006446320,gid://shopify/ProductVariant/50296063590640,ACTIVE,MULTI_BUY,6980,5980
フラワーバッド テーブルランプ,充電式・タッチ式・3色調光 / ホワイト,c1ded289d3375253bdea2c25abf7cea3,gid://shopify/Product/10218006446320,gid://shopify/ProductVariant/50296063623408,ACTIVE,MULTI_BUY,6980,5980
フラワーバッド テーブルランプ,充電式・タッチ式・3色調光 / ピンク,5c8ed019d1eb4dfa2f86c57e0ff40cfc,gid://shopify/Product/10218006446320,gid://shopify/ProductVariant/50296063656176,ACTIVE,MULTI_BUY,6980,5980
フラワーバッド テーブルランプ,充電式・タッチ式・3色調光 / イエロー,5355a954c7015707872313a25e6206e3,gid://shopify/Product/10218006446320,gid://shopify/ProductVariant/50296063688944,ACTIVE,MULTI_BUY,6980,5980
フランネル ブランケット,スペースグレイ / 100×150cm（約390g）,c4acced1debba629b67fea653ed982ab,gid://shopify/Product/10218005364976,gid://shopify/ProductVariant/50296057200880,ACTIVE,MULTI_BUY,3480,2980
フランネル ブランケット,スペースグレイ / 150×200cm（約820g）,452655176431a63bad1928eadefe92dd,gid://shopify/Product/10218005364976,gid://shopify/ProductVariant/50296057233648,ACTIVE,MULTI_BUY,4480,3980
フランネル ブランケット,スペースグレイ / 180×200cm（約950g）,4c641b92d632cc1367fe770d3c9b98a9,gid://shopify/Product/10218005364976,gid://shopify/ProductVariant/50296057266416,ACTIVE,MULTI_BUY,4480,3980
フランネル ブランケット,ピンキー / 100×150cm（約390g）,1196318b1d4cdae7e370dc0d5e2f93df,gid://shopify/Product/10218005364976,gid://shopify/ProductVariant/50296057364720,ACTIVE,MULTI_BUY,3480,2980
