商品,variant,sku,status,tier,cat,分類,ship_bucket,ship_est,ckb_cost,推定着地原価,cost_source,Sale除外,現価格,新通常価格,備考,PAIR対象,通常_売価,通常_粗利額,通常_粗利率,通常_限界利益,通常_BE_ROAS,通常_CPA上限,通常_返金引当,通常_倍率,SummerSale10_売価,SummerSale10_粗利額,SummerSale10_粗利率,SummerSale10_限界利益,SummerSale10_BE_ROAS,SummerSale10_CPA上限,SummerSale10_返金引当,SummerSale10_倍率,MB2点_売価,MB2点_粗利額,MB2点_粗利率,MB2点_限界利益,MB2点_BE_ROAS,MB2点_CPA上限,MB2点_返金引当,MB2点_倍率,MB3点以上_売価,MB3点以上_粗利額,MB3点以上_粗利率,MB3点以上_限界利益,MB3点以上_BE_ROAS,MB3点以上_CPA上限,MB3点以上_返金引当,MB3点以上_倍率,PAIR15_売価,PAIR15_粗利額,PAIR15_粗利率,PAIR15_限界利益,PAIR15_BE_ROAS,PAIR15_CPA上限,PAIR15_返金引当,PAIR15_倍率
クリアシェード テーブルランプ,充電式・無段階調光 / パールブラック（クリアシェード）,baed95876fcacec127ef858731c7dc04,ACTIVE,tier-aov,lighting,SUMMER_SALE,中型,1750,1949,3699,推定(ckb_cost + ship_est),,11480,10980,Owner承認済み,—,10980,7281,66.3%,6152,1.78,4306,734,2.97,9882,6183,62.6%,5148,1.92,3604,679,2.67,,,,,,,,,,,,,,,,,,,,,,,,
コイル サイドテーブル,レモンイエロー / 全高45cm（天板径34cm）,ab07dcd0e56eb7ee717e2da9a3ac402d,ACTIVE,tier-brand-builder,table,SUMMER_SALE,大型,3500,7521,11021,推定(ckb_cost + ship_est),,33480,31980,Owner承認済み,—,31980,20959,65.5%,17658,1.81,12360,2150,2.90,28782,17761,61.7%,14735,1.95,10314,1990,2.61,,,,,,,,,,,,,,,,,,,,,,,,
コイル サイドテーブル,トゥルーレッド / 全高45cm（天板径34cm）,8c1b2d9a7e72c188d438d40ddf490f56,ACTIVE,tier-brand-builder,table,SUMMER_SALE,大型,3500,7521,11021,推定(ckb_cost + ship_est),,33480,31980,Owner承認済み,—,31980,20959,65.5%,17658,1.81,12360,2150,2.90,28782,17761,61.7%,14735,1.95,10314,1990,2.61,,,,,,,,,,,,,,,,,,,,,,,,
コイル サイドテーブル,グリーン / 全高45cm（天板径34cm）,3455466daef0d9268b82871cbe8c210c,ACTIVE,tier-brand-builder,table,SUMMER_SALE,大型,3500,7521,11021,推定(ckb_cost + ship_est),,33480,31980,Owner承認済み,—,31980,20959,65.5%,17658,1.81,12360,2150,2.90,28782,17761,61.7%,14735,1.95,10314,1990,2.61,,,,,,,,,,,,,,,,,,,,,,,,
コーデュロイ フォールディングチェア,ブラウン,cfba35e8e118f16f83ff476952758d2b,ACTIVE,tier-core,chair,SUMMER_SALE,中型,1750,1999,3749,推定(ckb_cost + ship_est),,11480,10980,Owner承認済み,—,10980,7231,65.9%,6099,1.80,4269,736,2.93,9882,6133,62.1%,5096,1.94,3567,682,2.64,,,,,,,,,,,,,,,,,,,,,,,,
コーデュロイ フォールディングチェア,ピーコックブルー,b2e07986192be22f0732e2deb26a4121,ACTIVE,tier-core,chair,SUMMER_SALE,中型,1750,1999,3749,推定(ckb_cost + ship_est),,11480,10980,Owner承認済み,—,10980,7231,65.9%,6099,1.80,4269,736,2.93,9882,6133,62.1%,5096,1.94,3567,682,2.64,,,,,,,,,,,,,,,,,,,,,,,,
コーデュロイ フォールディングチェア,オレンジ,b135c1eeb074ce7fa189ada712ece2f9,ACTIVE,tier-core,chair,SUMMER_SALE,中型,1750,1999,3749,推定(ckb_cost + ship_est),,11480,10980,Owner承認済み,—,10980,7231,65.9%,6099,1.80,4269,736,2.93,9882,6133,62.1%,5096,1.94,3567,682,2.64,,,,,,,,,,,,,,,,,,,,,,,,
コーデュロイ フォールディングチェア,ピンク,c8fb2c55f4618676bee453bed599f9aa,ACTIVE,tier-core,chair,SUMMER_SALE,中型,1750,1999,3749,推定(ckb_cost + ship_est),,11480,10980,Owner承認済み,—,10980,7231,65.9%,6099,1.80,4269,736,2.93,9882,6133,62.1%,5096,1.94,3567,682,2.64,,,,,,,,,,,,,,,,,,,,,,,,
コーデュロイ フォールディングチェア,オリーブグリーン,e562d7f8143adbced26b8edd39314da9,ACTIVE,tier-core,chair,SUMMER_SALE,中型,1750,1999,3749,推定(ckb_cost + ship_est),,11480,10980,Owner承認済み,—,10980,7231,65.9%,6099,1.80,4269,736,2.93,9882,6133,62.1%,5096,1.94,3567,682,2.64,,,,,,,,,,,,,,,,,,,,,,,,
ジオメトリック ブックスタンド,ミッドセンチュリー ブックスタンド,1be0d3e140f8e8a6b08ace3037286484,ACTIVE,tier-aov,object,SUMMER_SALE,小物,800,1974,2774,推定(ckb_cost + ship_est),,8480,7980,本体のみ,—,7980,5206,65.2%,4381,1.82,3067,538,2.88,7182,4408,61.4%,3652,1.97,2556,498,2.59,,,,,,,,,,,,,,,,,,,,,,,,
ジオメトリック ブックスタンド,ミッドセンチュリー ブックスタンド+ダミーブック3冊,0976a78b31041ab45bd0e91144ccb408,ACTIVE,tier-aov,object,SUMMER_SALE,小物,800,2224,3024,推定(ckb_cost + ship_est),,9480,8980,ダミーブック3冊付き,—,8980,5956,66.3%,5033,1.78,3523,600,2.97,8082,5058,62.6%,4212,1.92,2948,555,2.67,,,,,,,,,,,,,,,,,,,,,,,,
ジャカード 中綿付きクッション,イエロー ウェーブ / 45×45cm（中材付き）,69a55069d32475d8c1cd19bfe9fec6ff,ACTIVE,tier-aov,cushion,MULTI_BUY,小物,800,387,1187,推定(ckb_cost + ship_est),,3980,3480,Owner承認済み,—,3480,2293,65.9%,1934,1.80,1354,233,2.93,,,,,,,,,3132,1945,62.1%,1616,1.94,1131,216,2.64,2958,1771,59.9%,1457,2.03,1020,207,2.49,,,,,,,,
ジャカード 中綿付きクッション,イエロー ダイヤグリッド / 45×45cm（中材付き）,b1cffd17310b993326477bdfa88de12b,ACTIVE,tier-aov,cushion,MULTI_BUY,小物,800,387,1187,推定(ckb_cost + ship_est),,3980,3480,Owner承認済み,—,3480,2293,65.9%,1934,1.80,1354,233,2.93,,,,,,,,,3132,1945,62.1%,1616,1.94,1131,216,2.64,2958,1771,59.9%,1457,2.03,1020,207,2.49,,,,,,,,
ジャカード 中綿付きクッション,イエロー スモールスクエア / 45×45cm（中材付き）,24f5a06e8b01eb11abc4c5edc9d552cb,ACTIVE,tier-aov,cushion,MULTI_BUY,小物,800,387,1187,推定(ckb_cost + ship_est),,3980,3480,Owner承認済み,—,3480,2293,65.9%,1934,1.80,1354,233,2.93,,,,,,,,,3132,1945,62.1%,1616,1.94,1131,216,2.64,2958,1771,59.9%,1457,2.03,1020,207,2.49,,,,,,,,
ジャカード 中綿付きクッション,イエロー エコー / 45×45cm（中材付き）,45c2c2242560adb70d1480e42205ea8a,ACTIVE,tier-aov,cushion,MULTI_BUY,小物,800,387,1187,推定(ckb_cost + ship_est),,3980,3480,Owner承認済み,—,3480,2293,65.9%,1934,1.80,1354,233,2.93,,,,,,,,,3132,1945,62.1%,1616,1.94,1131,216,2.64,2958,1771,59.9%,1457,2.03,1020,207,2.49,,,,,,,,
ジャカード 中綿付きクッション,イエロー ヘリンボーン / 45×45cm（中材付き）,24e86b5f2b68da1216806cd6af3928eb,ACTIVE,tier-aov,cushion,MULTI_BUY,小物,800,387,1187,推定(ckb_cost + ship_est),,3980,3480,Owner承認済み,—,3480,2293,65.9%,1934,1.80,1354,233,2.93,,,,,,,,,3132,1945,62.1%,1616,1.94,1131,216,2.64,2958,1771,59.9%,1457,2.03,1020,207,2.49,,,,,,,,
