product,status,variant,variant_id,price,bucket,cost_source,landed_est,sale,normal_price,normal_gp_rate,normal_mp5,normal_mp8,best_disc_price,best_disc_gp_rate,best_disc_mp5,best_disc_mp8,worst_price,worst_gp_rate,worst_mp5,worst_mp8,cpa_at_disc,be_roas_at_disc,mult_now
ハル ダイニングチェア,ACTIVE,チェリー × ミルクブラウンレザー調（1脚）,50296095637744,21480,中型,推定(ckb+ship_est),7122,SALE10,21480,0.668,12510,11866,19332,0.632,10547,9967,18832,0.622,10090,9525,7383,1.83,3.02
ハル ダイニングチェア,ACTIVE,ウォールナット × グレーレザー調（1脚）,50296095703280,21480,中型,推定(ckb+ship_est),7122,SALE10,21480,0.668,12510,11866,19332,0.632,10547,9967,18832,0.622,10090,9525,7383,1.83,3.02
ハル ダイニングチェア,ACTIVE,チェリー × ミルクブラウンレザー調（2脚セット）,50296095768816,34480,中型,推定(ckb+ship_est),11621,-,34480,0.663,19893,18859,34480,0.663,19893,18859,33980,0.658,19436,18417,13925,1.73,2.97
ハル ダイニングチェア,ACTIVE,ウォールナット × グレーレザー調（2脚セット）,50296095670512,34480,中型,推定(ckb+ship_est),11621,-,34480,0.663,19893,18859,34480,0.663,19893,18859,33980,0.658,19436,18417,13925,1.73,2.97
ベルベット クッション,ACTIVE,ブラウン ブリック×スワロー / 45×45cm（中材付き）,50296092885232,5980,小物,推定(ckb+ship_est),1969,MB15,5980,0.671,3496,3317,5083,0.613,2676,2524,4583,0.57,2219,2082,1873,1.9,3.04
ベルベット クッション,ACTIVE,ブラウン ペンシルライン / 45×45cm（中材付き）,50296093212912,7480,小物,推定(ckb+ship_est),2519,MB15,7480,0.663,4317,4093,6358,0.604,3292,3101,5858,0.57,2835,2659,2304,1.93,2.97
ベルベット クッション,ACTIVE,ブラウン フォレストカット / 45×45cm（中材付き）,50296093278448,5980,小物,推定(ckb+ship_est),1919,MB15,5980,0.679,3546,3367,5083,0.622,2726,2574,4583,0.581,2269,2132,1908,1.86,3.12
ベルベット クッション,ACTIVE,カーキ ブラッシュ / 45×45cm（中材付き）,50296093475056,5980,小物,推定(ckb+ship_est),1894,MB15,5980,0.683,3571,3392,5083,0.627,2751,2599,4583,0.587,2294,2157,1926,1.85,3.16
ベルベット クッション,ACTIVE,ブラウン コーデュロイチェック / 45×45cm（中材付き）,50296093606128,7480,小物,推定(ckb+ship_est),2494,MB15,7480,0.667,4342,4118,6358,0.608,3317,3126,5858,0.574,2860,2684,2322,1.92,3.0
ベルベット クッション,ACTIVE,カーキ ベルベット / 45×45cm（中材付き）,50296094032112,5480,小物,推定(ckb+ship_est),1694,MB15,5480,0.691,3314,3150,4658,0.636,2563,2423,4158,0.593,2106,1981,1794,1.82,3.23
ベルベット クッション,ACTIVE,ブラウン レースジオメトリック / 45×45cm（中材付き）,50296094228720,6980,小物,推定(ckb+ship_est),2294,MB15,6980,0.671,4085,3876,5933,0.613,3128,2950,5433,0.578,2671,2508,2190,1.9,3.04
ベルベット クッション,ACTIVE,カーキ バーチカルプリーツ / 45×45cm（中材付き）,50296094753008,5980,小物,推定(ckb+ship_est),1944,MB15,5980,0.675,3521,3342,5083,0.618,2701,2549,4583,0.576,2244,2107,1891,1.88,3.08
